pwsid,pop_served,years_in_violation
AK2270215,661,0
AK2270223,373,1
AK2270257,250,0
AK2270273,308,1
AK2270281,280,1
AK2270299,820,4
AK2270312,1200,1
AK2270320,938,1
AK2270338,513,2
AK2270346,2228,1
AK2270362,570,3
AK2270469,224,0
AK2270613,385,2
AK2270697,302,2
AK2270736,639,0
AK2271025,547,0
AK2271033,311,3
AK2271041,724,2
AK2271059,51,0
AK2271148,446,1
AK2271211,350,1
AK2271562,198,1
AK2271700,400,1
AK2271721,243,1
AK2271874,82,2
AK2271981,25,0
AK2271999,1660,1
AK2272004,617,3
AK2272005,346,0
AK2272012,123,1
AK2272016,276,0
AK2272017,760,4
AK2272747,627,0
AK2272750,109,1
AK2272752,240,1
AK2272756,170,0
AK2280040,60,2
AK2280066,207,4
AK2280074,182,1
AK2280155,341,3
AK2280163,70,0
AK2280171,96,1
AK2280302,147,0
AK2291130,95,5
AK2291211,464,0
AK2291229,675,0
AK2291279,75,1
AK2291499,365,0
AK2291596,236,0
AK2291952,50,3
AK2292099,50,1
AK2292186,30,0
AK2292330,200,0
AK2293205,2700,0
AK2298002,48,0
AK2298103,4500,0
AK2299001,50,0
AK2299027,40,0
AK2300159,205,2
AK2300183,76,5
AK2300191,323,1
AK2300214,261,2
AK2300222,175,0
AK2300248,181,1
AK2300272,107,2
AK2300484,95,0
AK2300769,110,0
AK2300816,135,1
AK2310277,350,0
AK2310675,4005,0
AK2310683,6200,1
AK2310714,600,0
AK2310730,78324,0
AK2310803,80,1
AK2310837,31,2
AK2310853,114,1
AK2310879,105,1
AK2310895,38,2
AK2310900,27000,0
AK2310918,20076,0
AK2310926,1575,2
AK2310934,53,0
AK2312156,880,0
AK2312415,508,2
AK2312457,52,1
AK2312504,102,1
AK2312813,310,0
AK2313233,72,1
AK2314653,2400,0
AK2315586,325,0
AK2315659,35,0
AK2320078,4900,1
AK2320086,600,0
AK2320094,284,0
AK2320230,638,0
AK2320248,292,0
AK2320256,237,0
AK2320264,443,0
AK2320426,881,0
AK2340010,3920,0
AK2340060,3234,5
AK2340109,735,1
AK2340117,452,5
AK2340125,600,3
AK2340141,83,4
AK2340159,485,0
AK2340167,277,2
AK2340183,802,0
AK2340191,173,3
AK2340214,150,3
AK2340222,160,3
AK2340230,455,1
AK2340248,295,3
AK2340337,495,2
AK2340345,320,3
AK2340361,299,2
AK2340379,846,4
AK2340387,757,3
AK2340418,442,2
AK2340442,270,2
AK2340484,572,1
AK2340492,590,0
AK2340507,210,0
AK2340565,93,2
AK2340735,300,0
AK2340751,669,1
AK2350235,350,0
AK2360109,271,3
AK2360141,214,4
AK2360159,290,0
AK2360214,85,0
AK2360230,80,0
AK2360256,665,0
AK2360272,490,4
AK2360442,28,1
AK2360785,245,1
AK2360816,88,1
AK2360866,215,0
AK2370625,11870,1
AK2370780,1257,0
AK2370879,44,1
AK2372075,210,0
AK2380214,54,4
AK2380329,62,0
AK2380531,108,1
AK2380638,150,0
AK2381422,223,0
AK2381498,90,0
AK2382096,192,1
AK2390065,486,0
AK2390586,300,1
AK2390756,433,0
AL0000001,7710,0
