building_type,climate_zone,vintage_bin,eui_kbtu_sqft_yr
mf_2_4,3B,pre_1950,40.7
mf_2_4,3B,1950_1979,39.0
mf_2_4,3B,1980_1999,32.7
mf_2_4,3B,2000_2009,32.5
mf_2_4,3B,2010_plus,32.1
mf_2_4,3B,unknown,36.8
mf_2_4,3C,pre_1950,41.8
mf_2_4,3C,1950_1979,39.3
mf_2_4,3C,1980_1999,31.4
mf_2_4,3C,2000_2009,30.0
mf_2_4,3C,unknown,38.3
mf_2_4,4,pre_1950,82.2
mf_2_4,4,1950_1979,67.7
mf_2_4,4,1980_1999,47.9
mf_2_4,4,2000_2009,42.4
mf_2_4,4,2010_plus,40.3
mf_2_4,4,unknown,64.7
mf_2_4,4A,pre_1950,82.8
mf_2_4,4A,1950_1979,70.2
mf_2_4,4A,1980_1999,49.3
mf_2_4,4A,2000_2009,43.3
mf_2_4,4A,2010_plus,40.6
mf_2_4,4A,unknown,67.0
mf_2_4,4B,1950_1979,57.4
mf_2_4,4B,1980_1999,43.5
mf_2_4,4B,unknown,48.5
mf_2_4,4C,pre_1950,65.9
mf_2_4,4C,1950_1979,51.8
mf_2_4,4C,1980_1999,39.3
mf_2_4,4C,2000_2009,38.1
mf_2_4,4C,2010_plus,37.6
mf_2_4,4C,unknown,46.2
mf_2_4,5,pre_1950,88.5
mf_2_4,5,1950_1979,78.3
mf_2_4,5,1980_1999,56.2
mf_2_4,5,2000_2009,49.1
mf_2_4,5,2010_plus,46.7
mf_2_4,5,unknown,76.9
mf_2_4,5A,pre_1950,88.8
mf_2_4,5A,1950_1979,80.3
mf_2_4,5A,1980_1999,57.3
mf_2_4,5A,2000_2009,52.9
mf_2_4,5A,2010_plus,48.6
mf_2_4,5A,unknown,78.7
mf_2_4,5B,pre_1950,74.8
mf_2_4,5B,1950_1979,65.5
mf_2_4,5B,1980_1999,49.0
mf_2_4,5B,2000_2009,37.9
mf_2_4,5B,2010_plus,42.5
mf_2_4,5B,unknown,57.3
mf_2_4,6,pre_1950,99.7
mf_2_4,6,1950_1979,84.1
mf_2_4,6,1980_1999,63.7
mf_2_4,6,2000_2009,52.1
mf_2_4,6,2010_plus,55.4
mf_2_4,6,unknown,83.7
mf_2_4,6A,pre_1950,99.8
mf_2_4,6A,1950_1979,85.1
mf_2_4,6A,1980_1999,64.5
mf_2_4,6A,2000_2009,55.0
mf_2_4,6A,2010_plus,56.5
mf_2_4,6A,unknown,85.8
mf_2_4,6B,pre_1950,97.0
mf_2_4,6B,1950_1979,74.6
mf_2_4,6B,1980_1999,61.1
mf_2_4,6B,2000_2009,41.9
mf_2_4,6B,unknown,64.0
mf_2_4,7,pre_1950,125.5
mf_2_4,7,1950_1979,90.0
mf_2_4,7,1980_1999,60.8
mf_2_4,7,unknown,83.5
mf_2_4,7A,pre_1950,123.2
mf_2_4,7A,1950_1979,93.3
mf_2_4,7A,1980_1999,65.0
mf_2_4,7A,unknown,84.7
mf_2_4,7B,unknown,55.3
mf_5plus,1,pre_1950,30.4
mf_5plus,1,1950_1979,27.4
mf_5plus,1,1980_1999,25.0
mf_5plus,1,2000_2009,22.1
mf_5plus,1,2010_plus,23.7
mf_5plus,1,unknown,26.0
mf_5plus,1A,pre_1950,30.4
mf_5plus,1A,1950_1979,27.4
mf_5plus,1A,1980_1999,25.0
mf_5plus,1A,2000_2009,22.1
mf_5plus,1A,2010_plus,23.7
mf_5plus,1A,unknown,26.0
mf_5plus,2,pre_1950,36.0
mf_5plus,2,1950_1979,32.4
mf_5plus,2,1980_1999,29.5
mf_5plus,2,2000_2009,26.3
mf_5plus,2,2010_plus,28.2
mf_5plus,2,unknown,29.5
mf_5plus,2A,pre_1950,35.5
mf_5plus,2A,1950_1979,31.8
mf_5plus,2A,1980_1999,28.8
mf_5plus,2A,2000_2009,26.0
mf_5plus,2A,2010_plus,28.3
mf_5plus,2A,unknown,29.0
mf_5plus,2B,1950_1979,35.9
mf_5plus,2B,1980_1999,32.7
mf_5plus,2B,2000_2009,29.0
mf_5plus,2B,2010_plus,26.6
mf_5plus,2B,unknown,32.5
mf_5plus,3,pre_1950,38.8
mf_5plus,3,1950_1979,36.3
mf_5plus,3,1980_1999,32.7
mf_5plus,3,2000_2009,30.6
mf_5plus,3,2010_plus,29.6
mf_5plus,3,unknown,33.6
mf_5plus,3A,pre_1950,44.8
mf_5plus,3A,1950_1979,43.5
mf_5plus,3A,1980_1999,35.7
mf_5plus,3A,2000_2009,31.3
mf_5plus,3A,2010_plus,30.8
mf_5plus,3A,unknown,36.0
mf_5plus,3B,pre_1950,38.0
mf_5plus,3B,1950_1979,33.3
mf_5plus,3B,1980_1999,30.4
mf_5plus,3B,2000_2009,29.8
mf_5plus,3B,2010_plus,28.2
mf_5plus,3B,unknown,31.9
mf_5plus,3C,pre_1950,37.0
