geoid,median_gross_rent,resolved
17171,689,county
17173,814,county
17175,735,county
17177,798,county
17179,909,county
17181,648,county
17183,838,county
17185,794,county
17187,788,county
17189,818,county
17191,657,county
17193,719,county
17195,856,county
17197,1462,county
17199,930,county
17201,1021,county
17203,912,county
18001,833,county
18003,1021,county
18005,1127,county
18007,774,county
18009,699,county
18011,1359,county
18013,895,county
18015,890,county
18017,783,county
18019,1129,county
18021,873,county
18023,920,county
18025,686,county
18027,847,county
18029,845,county
18031,861,county
18033,861,county
18035,906,county
18037,834,county
18039,1047,county
18041,791,county
18043,1036,county
18045,843,county
18047,870,county
18049,839,county
18051,935,county
18053,853,county
18055,797,county
18057,1574,county
18059,1203,county
18061,836,county
18063,1436,county
18065,820,county
18067,937,county
18069,879,county
18071,1004,county
18073,962,county
18075,770,county
18077,890,county
18079,988,county
18081,1271,county
18083,796,county
18085,1043,county
18087,839,county
18089,1131,county
18091,976,county
18093,845,county
18095,939,county
18097,1153,county
18099,938,county
18101,697,county
18103,838,county
18105,1193,county
18107,858,county
18109,1042,county
18111,918,county
18113,832,county
18115,898,county
18117,855,county
18119,911,county
18121,704,county
18123,682,county
18125,739,county
18127,1219,county
18129,782,county
18131,772,county
18133,884,county
18135,723,county
18137,839,county
18139,873,county
18141,1062,county
18143,822,county
18145,987,county
18147,751,county
18149,712,county
18151,933,county
18153,829,county
18155,758,county
18157,1124,county
18159,842,county
18161,760,county
18163,985,county
18165,750,county
18167,924,county
18169,762,county
18171,830,county
18173,1061,county
18175,780,county
18177,815,county
18179,813,county
18181,901,county
18183,934,county
19001,799,county
19003,893,county
19005,796,county
19007,784,county
19009,759,county
19011,826,county
19013,989,county
19015,845,county
19017,921,county
19019,848,county
19021,894,county
19023,812,county
19025,723,county
19027,731,county
19029,777,county
19031,879,county
19033,850,county
19035,758,county
19037,738,county
19039,931,county
19041,811,county
19043,790,county
19045,850,county
19047,743,county
19049,1311,county
19051,868,county
19053,611,county
19055,764,county
19057,904,county
19059,922,county
19061,959,county
19063,733,county
19065,881,county
19067,745,county
19069,696,county
19071,746,county
19073,781,county
19075,774,county
19077,845,county
19079,877,county
19081,736,county
19083,795,county
19085,849,county
19087,820,county
19089,713,county
19091,744,county
19093,696,county
19095,686,county
19097,807,county
19099,836,county
19101,883,county
19103,1122,county
19105,784,county
19107,828,county
19109,859,county
19111,835,county
19113,945,county
19115,775,county
19117,709,county
19119,843,county
19121,1036,county
19123,793,county
19125,884,county
19127,885,county
19129,959,county
19131,738,county
19133,855,county
19135,798,county
19137,814,county
19139,971,county
19141,868,county
19143,797,county
19145,705,county
19147,638,county
19149,910,county
19151,832,county
19153,1149,county
19155,1018,county
19157,883,county
19159,710,county
19161,722,county
19163,1005,county
19165,783,county
19167,908,county
19169,1018,county
19171,872,county
19173,765,county
19175,721,county
19177,622,county
19179,920,county
19181,973,county
19183,879,county
19185,659,county
19187,785,county
19189,717,county
19191,861,county
19193,981,county
19195,758,county
19197,790,county
20001,720,county
20003,853,county
20005,765,county
20007,830,county
20009,761,county
20011,752,county
20013,646,county
20015,956,county
20017,825,county
20019,708,county
20021,799,county
20023,656,county
20025,789,county
20027,937,county
20029,769,county
20031,836,county
20033,692,county
20035,809,county
20037,849,county
20039,676,county
20041,901,county
20043,776,county
20045,1099,county
20047,740,county
20049,552,county
20051,943,county
20053,708,county
20055,1048,county
20057,1010,county
20059,1042,county
20061,1104,county
20063,705,county
20065,734,county
20067,718,county
20069,808,county
20071,794,county
20073,715,county
20075,909,county
20077,690,county
20079,900,county
20081,830,county
20083,941,county
20085,814,county
20087,835,county
20089,608,county
20091,1434,county
20093,1056,county
20095,846,county
20097,762,county
20099,746,county
20101,590,county
20103,1219,county
20105,634,county
20107,691,county
20109,840,county
20111,817,county
20113,916,county
20115,727,county
20117,690,county
20119,790,county
20121,1107,county
20123,604,county
20125,761,county
20127,724,county
20129,632,county
20131,774,county
20133,681,county
20135,538,county
20137,609,county
20139,785,county
20141,595,county
20143,809,county
20145,795,county
20147,672,county
20149,924,county
20151,802,county
20153,817,county
20155,863,county
20157,664,county
20159,753,county
20161,1046,county
20163,676,county
20165,711,county
20167,805,county
20169,961,county
20171,685,county
20173,998,county
20175,905,county
20177,1000,county
20179,689,county
20181,913,county
20183,635,county
20185,710,county
20187,705,county
20189,927,county
20191,825,county
20193,752,county
20195,720,county
20197,780,county
20199,601,county
20201,562,county
20203,942,county
20205,736,county
20207,618,county
20209,1122,county
21001,771,county
21003,844,county
21005,927,county
21007,817,county
21009,796,county
21011,659,county
21013,592,county
21015,1373,county
21017,822,county
21019,849,county
21021,778,county
21023,756,county
21025,548,county
21027,733,county
21029,987,county
21031,679,county
21033,767,county
21035,870,county
21037,1145,county
21039,792,county
21041,910,county
21043,740,county
21045,670,county
21047,1040,county
21049,938,county
21051,724,county
21053,617,county
21055,714,county
21057,523,county
21059,918,county
21061,778,county
21063,432,county
21065,711,county
21067,1164,county
21069,715,county
21071,672,county
21073,967,county
21075,570,county
21077,832,county
21079,794,county
21081,862,county
21083,775,county
21085,658,county
21087,610,county
21089,860,county
21091,740,county
21093,971,county
21095,678,county
21097,765,county
21099,693,county
21101,777,county
21103,895,county
21105,718,county
21107,837,county
21109,665,county
21111,1149,county
21113,1124,county
21115,708,county
21117,1069,county
21119,756,county
21121,681,county
21123,860,county
21125,813,county
21127,760,county
21129,603,county
21131,585,county
21133,669,county
21135,751,county
21137,698,county
21139,926,county
21141,751,county
21143,747,county
21145,898,county
21147,577,county
21149,641,county
21151,889,county
21153,730,county
21155,726,county
21157,798,county
21159,450,county
21161,727,county
21163,1026,county
21165,675,county
21167,831,county
21169,582,county
21171,657,county
21173,830,county
21175,663,county
21177,718,county
21179,1008,county
21181,728,county
21183,739,county
21185,1219,county
21187,830,county
21189,448,county
21191,793,county
21193,798,county
21195,858,county
21197,747,county
21199,803,county
21201,548,county
21203,676,county
21205,825,county
21207,681,county
21209,1247,county
21211,1033,county
21213,1012,county
21215,987,county
21217,718,county
21219,851,county
21221,803,county
21223,863,county
21225,790,county
21227,1002,county
21229,744,county
21231,727,county
21233,783,county
21235,798,county
21237,501,county
21239,1138,county
22001,681,county
22003,775,county
22005,1318,county
22007,810,county
22009,757,county
22011,898,county
22013,606,county
22015,1174,county
22017,974,county
22019,1109,county
22021,830,county
22023,1688,county
22025,821,county
22027,674,county
22029,771,county
22031,687,county
22033,1147,county
22035,652,county
22037,911,county
22039,681,county
22041,721,county
22043,904,county
22045,897,county
22047,827,county
22049,736,county
22051,1190,county
22053,848,county
22055,1057,county
22057,928,county
22059,657,county
22061,825,county
22063,1151,county
22065,649,county
22067,839,county
22069,786,county
22071,1251,county
22073,959,county
22075,1573,county
22077,817,county
22079,950,county
22081,729,county
22083,903,county
22085,701,county
22087,1082,county
22089,1210,county
22091,870,county
22093,903,county
22095,1334,county
22097,748,county
22099,870,county
22101,848,county
22103,1332,county
22105,1003,county
22107,601,county
22109,1065,county
22111,778,county
22113,848,county
22115,1068,county
22117,774,county
22119,795,county
22121,973,county
22123,740,county
22125,1049,county
22127,774,county
23001,1010,county
23003,784,county
23005,1589,county
23007,802,county
23009,1061,county
23011,992,county
23013,1165,county
23015,1055,county
23017,836,county
23019,1041,county
23021,837,county
23023,1098,county
23025,910,county
23027,1021,county
23029,783,county
23031,1339,county
24001,805,county
24003,2071,county
24005,1627,county
24009,1759,county
24011,1105,county
24013,1427,county
24015,1377,county
24017,1920,county
24019,1032,county
24021,1774,county
24023,765,county
24025,1586,county
24027,2099,county
24029,1209,county
24031,2068,county
24033,1799,county
24035,1619,county
24037,1747,county
24039,1013,county
24041,1256,county
24043,1147,county
24045,1327,county
24047,1159,county
24510,1331,county
25001,1678,county
25003,1097,county
25005,1245,county
25007,1277,county
25009,1756,county
25011,1177,county
25013,1136,county
25015,1388,county
25017,2201,county
25019,2213,county
25021,2149,county
25023,1747,county
25025,2129,county
25027,1426,county
26001,867,county
26003,714,county
26005,1100,county
26007,673,county
26009,902,county
26011,761,county
26013,616,county
26015,972,county
26017,860,county
26019,1026,county
26021,942,county
26023,959,county
26025,968,county
26027,916,county
26029,949,county
26031,773,county
26033,797,county
26035,765,county
26037,1092,county
26039,862,county
26041,692,county
26043,797,county
26045,1092,county
26047,1112,county
26049,989,county
26051,690,county
26053,623,county
26055,1288,county
26057,834,county
26059,832,county
26061,840,county
26063,788,county
26065,1084,county
26067,884,county
26069,719,county
26071,716,county
26073,913,county
26075,985,county
26077,1093,county
26079,853,county
26081,1243,county
26083,688,county
26085,875,county
26087,988,county
26089,1228,county
26091,987,county
26093,1287,county
26095,675,county
26097,760,county
26099,1211,county
26101,842,county
26103,949,county
26105,896,county
26107,934,county
26109,692,county
26111,1016,county
26113,891,county
26115,1059,county
26117,869,county
26119,686,county
26121,1028,county
26123,904,county
26125,1376,county
26127,759,county
26129,823,county
26131,540,county
26133,807,county
26135,681,county
26137,1008,county
26139,1211,county
26141,683,county
26143,816,county
26145,947,county
26147,1029,county
26149,849,county
26151,807,county
26153,705,county
26155,899,county
26157,819,county
26159,870,county
26161,1463,county
26163,1132,county
26165,897,county
27001,869,county
27003,1464,county
27005,920,county
27007,1053,county
27009,982,county
27011,745,county
27013,1123,county
27015,890,county
27017,1009,county
27019,1514,county
27021,863,county
27023,869,county
27025,1186,county
27027,1019,county
27029,742,county
27031,886,county
27033,817,county
27035,971,county
27037,1548,county
27039,1020,county
27041,927,county
27043,799,county
27045,797,county
27047,849,county
27049,966,county
27051,797,county
27053,1487,county
27055,879,county
27057,905,county
27059,1273,county
27061,988,county
27063,787,county
27065,962,county
27067,909,county
27069,757,county
27071,671,county
27073,728,county
27075,1093,county
27077,955,county
27079,942,county
27081,674,county
27083,781,county
27085,941,county
27087,696,county
27089,690,county
27091,761,county
27093,904,county
27095,903,county
27097,788,county
27099,927,county
27101,810,county
27103,970,county
27105,896,county
27107,774,county
27109,1370,county
27111,868,county
27113,862,county
27115,877,county
27117,754,county
27119,855,county
27121,902,county
27123,1329,county
27125,583,county
27127,757,county
27129,790,county
27131,1083,county
27133,698,county
27135,880,county
27137,1013,county
27139,1568,county
27141,1127,county
27143,855,county
27145,1068,county
27147,1061,county
27149,951,county
27151,920,county
27153,908,county
27155,615,county
27157,830,county
27159,746,county
27161,883,county
27163,1710,county
27165,834,county
27167,564,county
27169,907,county
27171,1288,county
27173,678,county
28001,734,county
28003,751,county
28005,670,county
28007,825,county
28009,731,county
28011,685,county
28013,662,county
28015,662,county
28017,670,county
28019,638,county
28021,660,county
28023,801,county
28025,817,county
28027,749,county
28029,766,county
28031,662,county
28033,1451,county
28035,972,county
28037,725,county
28039,844,county
28041,802,county
28043,807,county
28045,977,county
28047,1115,county
28049,1061,county
28051,590,county
28053,641,county
28055,339,county
28057,811,county
28059,1101,county
28061,724,county
28063,448,county
28065,757,county
28067,869,county
28069,677,county
28071,1085,county
28073,1126,county
28075,953,county
28077,753,county
28079,765,county
28081,957,county
28083,689,county
28085,760,county
28087,930,county
28089,1186,county
28091,818,county
28093,868,county
28095,768,county
28097,734,county
28099,839,county
28101,638,county
28103,677,county
28105,915,county
28107,874,county
28109,906,county
28111,755,county
28113,919,county
28115,864,county
28117,637,county
28119,672,county
28121,1270,county
28123,888,county
28125,623,county
28127,852,county
28129,664,county
28131,936,county
28133,694,county
28135,732,county
28137,963,county
28139,790,county
28141,682,county
28143,977,county
28145,865,county
28147,790,county
28149,888,county
28151,833,county
28153,784,county
28155,632,county
28157,686,county
28159,721,county
28161,667,county
28163,790,county
29001,772,county
29003,961,county
29005,631,county
29007,693,county
29009,766,county
29011,805,county
29013,786,county
29015,773,county
29017,694,county
29019,1088,county
29021,902,county
29023,780,county
29025,640,county
29027,887,county
29029,876,county
29031,881,county
29033,822,county
29035,656,county
29037,1205,county
29039,767,county
29041,567,county
29043,1058,county
29045,612,county
29047,1243,county
29049,1008,county
29051,834,county
29053,782,county
29055,795,county
29057,683,county
29059,642,county
29061,696,county
29063,817,county
29065,660,county
29067,700,county
29069,648,county
29071,893,county
29073,743,county
29075,636,county
29077,989,county
29079,696,county
29081,703,county
29083,768,county
29085,648,county
29087,650,county
29089,832,county
29091,733,county
29093,664,county
29095,1197,county
29097,973,county
29099,979,county
29101,932,county
29103,666,county
29105,809,county
29107,928,county
29109,800,county
29111,644,county
29113,961,county
29115,620,county
29117,768,county
29119,767,county
29121,672,county
29123,808,county
29125,590,county
29127,808,county
29129,590,county
29131,763,county
29133,762,county
29135,735,county
29137,689,county
29139,788,county
29141,721,county
29143,729,county
29145,817,county
29147,786,county
29149,639,county
29151,639,county
29153,631,county
29155,695,county
29157,923,county
29159,885,county
29161,798,county
29163,778,county
29165,1334,county
29167,814,county
29169,1112,county
29171,521,county
29173,749,county
29175,760,county
29177,782,county
29179,655,county
29181,654,county
29183,1370,county
29185,622,county
29186,780,county
29187,794,county
29189,1209,county
29195,739,county
29197,382,county
29199,511,county
29201,873,county
29203,574,county
29205,625,county
29207,760,county
29209,896,county
29211,673,county
29213,926,county
29215,665,county
29217,734,county
29219,995,county
29221,684,county
29223,665,county
29225,789,county
29227,381,county
29229,625,county
29510,997,county
30001,837,county
30003,697,county
30005,660,county
30007,955,county
30009,844,county
30011,824,county
30013,939,county
30015,536,county
30017,893,county
30019,581,county
30021,815,county
30023,696,county
30025,779,county
30027,954,county
30029,1142,county
30031,1694,county
30033,725,county
30035,548,county
30037,783,county
30039,675,county
30041,776,county
30043,925,county
30045,495,county
30047,901,county
30049,1102,county
30051,710,county
30053,762,county
30055,556,county
30057,1000,county
30059,1263,county
30061,801,county
30063,1190,county
30065,1138,county
30067,976,county
30069,800,county
30071,536,county
30073,784,county
30075,533,county
30077,820,county
30079,627,county
30081,1054,county
30083,917,county
30085,705,county
30087,672,county
30089,820,county
30091,746,county
30093,863,county
30095,961,county
30097,1149,county
30099,730,county
30101,826,county
30103,850,county
30105,767,county
30107,730,county
30109,963,county
30111,1131,county
31001,857,county
31003,692,county
31005,750,county
31007,975,county
31009,873,county
31011,850,county
31013,752,county
31015,713,county
31017,876,county
31019,936,county
31021,708,county
31023,776,county
31025,996,county
31027,716,county
31029,800,county
31031,916,county
31033,821,county
31035,645,county
31037,980,county
31039,789,county
31041,853,county
31043,1069,county
31045,900,county
31047,925,county
31049,872,county
31051,689,county
31053,1060,county
31055,1201,county
31057,656,county
31059,716,county
31061,691,county
31063,666,county
31065,763,county
31067,774,county
31069,700,county
31071,490,county
31073,664,county
31075,867,county
31077,613,county
31079,943,county
31081,794,county
31083,657,county
31085,508,county
31087,714,county
31089,714,county
31091,592,county
31093,777,county
31095,662,county
31097,779,county
31099,857,county
31101,771,county
31103,875,county
31105,846,county
31107,647,county
31109,1085,county
31111,900,county
31113,761,county
31115,688,county
31117,588,county
31119,881,county
31121,750,county
31123,768,county
31125,807,county
31127,772,county
31129,585,county
31131,914,county
31133,706,county
31135,922,county
31137,815,county
31139,884,county
31141,897,county
31143,681,county
31145,819,county
31147,691,county
31149,644,county
31151,914,county
31153,1334,county
31155,960,county
31157,909,county
31159,980,county
31161,738,county
31163,818,county
31165,745,county
31167,902,county
31169,766,county
31171,638,county
31173,699,county
31175,626,county
31177,965,county
31179,800,county
31181,647,county
31183,509,county
31185,877,county
32001,1319,county
32003,1626,county
32005,1593,county
32007,1164,county
32009,1320,county
32011,969,county
32013,994,county
32015,902,county
32017,919,county
32019,1326,county
32021,905,county
32023,1181,county
32027,715,county
32029,1153,county
32031,1608,county
32033,937,county
32510,1248,county
33001,1167,county
33003,1195,county
33005,1276,county
33007,876,county
33009,1301,county
33011,1623,county
33013,1360,county
33015,1687,county
33017,1488,county
33019,1211,county
34001,1376,county
34003,1914,county
34005,1745,county
34007,1402,county
34009,1360,county
34011,1282,county
34013,1531,county
34015,1531,county
34017,1894,county
34019,1687,county
34021,1623,county
34023,1871,county
34025,1827,county
34027,1904,county
34029,1755,county
34031,1621,county
34033,1253,county
34035,2033,county
34037,1585,county
34039,1730,county
34041,1409,county
35001,1144,county
35003,736,county
35005,867,county
35006,759,county
