county_fips,pct_pop_hb_violation,cws_pop,n_cws
21003,0.00,23262,2
21005,36.33,23165,2
21007,0.00,5377,4
21009,0.00,40030,2
21011,74.09,16722,3
21013,0.00,28935,4
21015,0.00,100098,6
21017,91.19,15505,2
21019,19.64,66399,3
21021,0.00,36861,2
21023,0.00,9123,3
21025,47.65,9872,3
21027,0.00,21624,3
21029,0.00,26626,2
21031,15.57,16884,2
21033,0.00,14047,3
21035,3.13,30774,8
21039,0.00,2503,4
21041,0.89,12987,4
21043,39.93,28539,3
21045,84.41,14762,2
21047,0.00,89360,4
21049,0.00,37189,2
21051,31.96,16681,2
21053,0.00,9042,1
21055,100.00,3039,1
21057,73.45,9665,2
21059,0.00,112731,5
21061,79.41,24289,3
21063,0.00,3528,1
21065,0.00,15150,2
21067,0.00,669042,1
21069,0.00,14301,3
21071,36.69,44358,5
21073,0.00,65214,4
21075,100.00,7853,2
21077,0.00,7848,2
21079,0.00,19379,2
21081,7.72,31082,4
21083,0.00,28761,9
21085,0.00,28471,2
21087,0.00,17893,2
21089,17.27,40510,7
21091,0.00,6474,2
21093,4.90,136859,4
21095,34.78,27083,15
21097,69.74,23999,2
21099,0.00,22284,3
21101,0.00,49206,3
21103,0.00,22370,3
21105,0.00,1933,2
21107,11.94,57432,10
21109,8.90,14960,2
21111,0.00,806997,1
21113,25.74,56685,4
21115,0.00,24354,1
21117,0.00,259949,1
21119,0.00,9239,3
21121,33.61,24733,2
21123,0.00,13691,2
21125,12.37,71586,5
21127,0.00,8236,1
21129,0.00,8428,1
21131,0.00,9614,1
21133,52.37,12355,4
21135,0.00,9829,2
21137,25.08,21615,4
21139,20.09,18510,5
21141,16.64,30357,7
21143,52.16,12930,4
21145,0.00,65098,2
21147,0.00,34439,1
21149,11.32,8537,6
21151,39.00,91379,5
21153,25.34,11954,2
21155,0.00,23953,2
21157,0.00,37426,5
21159,100.00,9003,1
21161,0.00,25305,4
21163,83.57,39864,4
21165,99.54,5426,2
21167,0.00,26366,4
21169,0.00,8515,1
21171,89.00,13497,3
21173,71.22,34363,6
21175,76.02,9869,2
21177,64.85,36058,5
21179,13.79,51678,4
21181,0.00,10410,3
21183,9.30,25943,5
21185,0.00,48476,2
21189,100.00,5346,1
21191,0.00,15554,5
21193,0.00,30247,3
21195,79.50,55418,3
21197,0.00,15917,4
21199,0.00,102144,8
21201,0.00,775,1
21203,0.00,21352,4
21205,54.68,34317,3
21207,55.97,16811,2
21209,0.00,44608,1
21211,0.00,53306,4
21213,0.00,40548,2
21215,0.00,22286,1
21217,0.00,24874,1
21219,15.14,15988,5
21221,0.00,20449,2
21223,0.00,8007,2
21225,100.00,16273,4
21227,0.00,144719,2
21229,0.00,13205,1
21231,0.00,21000,1
21233,49.08,15420,6
21235,46.83,41263,5
21237,0.00,6600,1
21239,66.36,26858,4
22001,26.73,63321,12
22003,50.68,32229,10
22005,32.94,31987,19
22007,0.00,21366,1
22009,36.24,52812,16
22011,34.61,49360,7
22013,80.09,16678,20
22015,17.74,140258,22
22017,94.49,244869,41
22019,10.25,203380,43
22021,31.60,16233,11
22023,77.47,10807,7
22025,53.16,12708,7
22027,56.28,21097,12
22029,52.85,25815,7
22031,73.98,33699,9
22033,2.15,643102,5
22035,100.00,8070,4
22037,12.82,27684,10
22039,73.40,42955,13
22041,78.27,25752,7
22043,59.31,25910,13
22045,11.86,75060,7
22047,35.53,40967,12
22049,73.32,18119,19
22051,33.74,440987,4
22053,26.29,38275,8
22055,11.49,303572,59
22057,0.00,96471,2
22059,55.05,19338,12
22061,36.85,60540,20
22063,16.94,160380,28
22065,89.59,13542,4
22067,88.64,31947,15
22069,16.90,44619,13
22071,100.00,387688,2
22073,58.18,186438,26
22075,34.88,32082,4
22077,72.59,30794,10
22079,18.76,162868,22
22081,75.86,12339,11
22083,34.52,24759,11
22085,81.34,39244,18
22087,0.00,44783,1
22089,0.00,52879,1
22091,12.88,10402,3
22093,67.79,22354,4
22095,0.00,46679,4
22097,38.98,111579,28
22099,74.09,75519,14
22101,91.33,62077,11
